Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 80r,KB-E2_GB-C_161,#161,GB-C 161-x,332,CCCxxxiii,,
fol. 80v,KB-E2_GB-C_162,#162,GB-C 162-x,332,,,
fol. 81r,KB-E2_GB-C_163,#163,GB-C 163-x,333,CCCxxxiiii,,
fol. 81v,KB-E2_GB-C_164,#164,GB-C 164-x,333,,1427,
fol. 82r,KB-E2_GB-C_165,#165,GB-C 165-x,334,CCCxxxv,1427,
fol. 82v,KB-E2_GB-C_166,#166,GB-C 166-x,334,,,
fol. 83r,KB-E2_GB-C_167,#167,GB-C 167-x,335,CCCxxxvi,,
fol. 83v,KB-E2_GB-C_168,#168,GB-C 168-x,335,,,
fol. 84r,KB-E2_GB-C_169,#169,GB-C 169-x,336,CCCxxxvii,,
fol. 84v,KB-E2_GB-C_170,#170,GB-C 170-x,336,,,
fol. 85r,KB-E2_GB-C_171,#171,GB-C 171-x,337,CCCxxxviii,,
fol. 85v,KB-E2_GB-C_172,#172,GB-C 172-x,337,,,
fol. 86r,KB-E2_GB-C_173,#173,GB-C 173-x,338,CCCxxxviiii,1428,
fol. 86v,KB-E2_GB-C_174,#174,GB-C 174-x,338,,,
fol. 87r,KB-E2_GB-C_175,#175,GB-C 175-x,339,CCCxl,,
fol. 87v,KB-E2_GB-C_176,#176,GB-C 176-x,339,,,
fol. 88r,KB-E2_GB-C_177,#177,GB-C 177-x,340,CCCxli,,
fol. 88v,KB-E2_GB-C_178,#178,GB-C 178-x,340,,1429,
fol. 89r,KB-E2_GB-C_179,#179,GB-C 179-x,341,CCCxlii,,
fol. 89v,KB-E2_GB-C_180,#180,GB-C 180-x,341,,,
fol. 90r,KB-E2_GB-C_181,#181,GB-C 181-x,342,CCCxliii,,
fol. 90v,KB-E2_GB-C_182,#182,GB-C 182-x,342,,,
fol. 91r,KB-E2_GB-C_183,#183,GB-C 183-x,343,CCCxliiii,,
fol. 91v,KB-E2_GB-C_184,#184,GB-C 184-x,343,,,
fol. 92r,KB-E2_GB-C_185,#185,GB-C 185-x,344,CCCxlv,,
fol. 92v,KB-E2_GB-C_186,#186,GB-C 186-x,344,,,
fol. 93r,KB-E2_GB-C_187,#187,GB-C 187-x,345,CCCxlvi,,
fol. 93v,KB-E2_GB-C_188,#188,GB-C 188-x,345,,,
