"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 316r,GB-E_0630,#0630,GB-E 0630-x,315,,
fol. 316v,GB-E_0631,#0631,GB-E 0631-x,,,
fol. 317r,GB-E_0632,#0632,GB-E 0632-x,316,,
fol. 317v,GB-E_0633,#0633,GB-E 0633-x,,,
fol. 318r,GB-E_0634,#0634,GB-E 0634-x,317,,
fol. 318v,GB-E_0635,#0635,GB-E 0635-x,,,
fol. 319r,GB-E_0636,#0636,GB-E 0636-x,318,,
fol. 319v,GB-E_0637,#0637,GB-E 0637-x,,,
fol. 320r,GB-E_0638,#0638,GB-E 0638-x,319,,
fol. 320v,GB-E_0639,#0639,GB-E 0639-x,,,
fol. 321r,GB-E_0640,#0640,GB-E 0640-x,320,,
fol. 321v,GB-E_0641,#0641,GB-E 0641-x,,,
fol. 322r,GB-E_0642,#0642,GB-E 0642-x,321,,
fol. 322v,GB-E_0643,#0643,GB-E 0643-x,,,
fol. 323r,GB-E_0644,#0644,GB-E 0644-x,322,,
fol. 323v,GB-E_0645,#0645,GB-E 0645-x,,,
fol. 324r,GB-E_0646,#0646,GB-E 0646-x,323,,
fol. 324v,GB-E_0647,#0647,GB-E 0647-x,,,
fol. 325r,GB-E_0648,#0648,GB-E 0648-x,324,,
fol. 325v,GB-E_0649,#0649,GB-E 0649-x,,,
fol. 326r,GB-E_0650,#0650,GB-E 0650-x,325,,
fol. 326v,GB-E_0651,#0651,GB-E 0651-x,,,
fol. 327r,GB-E_0652,#0652,GB-E 0652-x,326,,
fol. 327v,GB-E_0653,#0653,GB-E 0653-x,,,
fol. 328r,GB-E_0654,#0654,GB-E 0654-x,327,,
fol. 328v,GB-E_0655,#0655,GB-E 0655-x,,,
fol. 329r,GB-E_0656,#0656,GB-E 0656-x,328,,
fol. 329v,GB-E_0657,#0657,GB-E 0657-x,,,
fol. 330r,GB-E_0658,#0658,GB-E 0658-x,329,,
fol. 330v,GB-E_0659,#0659,GB-E 0659-x,,,
fol. 331r,GB-E_0660,#0660,GB-E 0660-x,330,,
fol. 331v,GB-E_0661,#0661,GB-E 0661-x,,,
fol. 332r,GB-E_0662,#0662,GB-E 0662-x,331,,
fol. 332v,GB-E_0663,#0663,GB-E 0663-x,,,
fol. 333r,GB-E_0664,#0664,GB-E 0664-x,332,,
fol. 333v,GB-E_0665,#0665,GB-E 0665-x,,,
fol. 334r,GB-E_0666,#0666,GB-E 0666-x,333,,
fol. 334v,GB-E_0667,#0667,GB-E 0667-x,,,
fol. 335r,GB-E_0668,#0668,GB-E 0668-x,334,,
fol. 335v,GB-E_0669,#0669,GB-E 0669-x,,,
fol. 336r,GB-E_0670,#0670,GB-E 0670-x,335,,
fol. 336v,GB-E_0671,#0671,GB-E 0671-x,,,
fol. 337r,GB-E_0672,#0672,GB-E 0672-x,336,,
fol. 337v,GB-E_0673,#0673,GB-E 0673-x,,,
fol. 338r,GB-E_0674,#0674,GB-E 0674-x,337,,
fol. 338v,GB-E_0675,#0675,GB-E 0675-x,,,
fol. 339r,GB-E_0676,#0676,GB-E 0676-x,338,,
fol. 339v,GB-E_0677,#0677,GB-E 0677-x,,,
fol. 340r,GB-E_0678,#0678,GB-E 0678-x,339,,
fol. 340v,GB-E_0679,#0679,GB-E 0679-x,,,
fol. 341r,GB-E_0680,#0680,GB-E 0680-x,340,,
fol. 341v,GB-E_0681,#0681,GB-E 0681-x,,,
fol. 342r,GB-E_0682,#0682,GB-E 0682-x,341,,
fol. 342v,GB-E_0683,#0683,GB-E 0683-x,,,
fol. 343r,GB-E_0684,#0684,GB-E 0684-x,342,,
fol. 343v,GB-E_0685,#0685,GB-E 0685-x,,,
fol. 344r,GB-E_0686,#0686,GB-E 0686-x,343,,
fol. 344v,GB-E_0687,#0687,GB-E 0687-x,,,
fol. 345r,GB-E_0688,#0688,GB-E 0688-x,344,,
fol. 345v,GB-E_0689,#0689,GB-E 0689-x,,,
fol. 346r,GB-E_0690,#0690,GB-E 0690-x,345,,
fol. 346v,GB-E_0691,#0691,GB-E 0691-x,,,
fol. 347r,GB-E_0692,#0692,GB-E 0692-x,346,,
fol. 347v,GB-E_0693,#0693,GB-E 0693-x,,,
fol. 348r,GB-E_0694,#0694,GB-E 0694-x,347,,
fol. 348v,GB-E_0695,#0695,GB-E 0695-x,,,
fol. 349r,GB-E_0696,#0696,GB-E 0696-x,348,,
fol. 349v,GB-E_0697,#0697,GB-E 0697-x,,,
fol. 350r,GB-E_0698,#0698,GB-E 0698-x,349,,
fol. 350v,GB-E_0699,#0699,GB-E 0699-x,,,
fol. 351r,GB-E_0700,#0700,GB-E 0700-x,350,,
fol. 351v,GB-E_0701,#0701,GB-E 0701-x,,,
fol. 352r,GB-E_0702,#0702,GB-E 0702-x,351,,
fol. 352v,GB-E_0703,#0703,GB-E 0703-x,,,
fol. 353r,GB-E_0704,#0704,GB-E 0704-x,352,,
fol. 353v,GB-E_0705,#0705,GB-E 0705-x,,,
fol. 354r,GB-E_0706,#0706,GB-E 0706-x,353,,
fol. 354v,GB-E_0707,#0707,GB-E 0707-x,,,
fol. 355r,GB-E_0708,#0708,GB-E 0708-x,354,,
fol. 355v,GB-E_0709,#0709,GB-E 0709-x,,,
fol. 356r,GB-E_0710,#0710,GB-E 0710-x,355,,
fol. 356v,GB-E_0711,#0711,GB-E 0711-x,,,
fol. 357r,GB-E_0712,#0712,GB-E 0712-x,356,,
fol. 357v,GB-E_0713,#0713,GB-E 0713-x,,,
fol. 358r,GB-E_0714,#0714,GB-E 0714-x,357,,
