"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 437r,GB-E_0872,#0872,GB-E 0872-x,437,,
fol. 437v,GB-E_0873,#0873,GB-E 0873-x,,,
fol. 438r,GB-E_0874,#0874,GB-E 0874-x,438,,
fol. 438v,GB-E_0875,#0875,GB-E 0875-x,,,
fol. 439r,GB-E_0876,#0876,GB-E 0876-x,439,,
fol. 439v,GB-E_0877,#0877,GB-E 0877-x,,,
fol. 440r,GB-E_0878,#0878,GB-E 0878-x,440,,
fol. 440v,GB-E_0879,#0879,GB-E 0879-x,,,
fol. 441r,GB-E_0880,#0880,GB-E 0880-x,441,,
fol. 441v,GB-E_0881,#0881,GB-E 0881-x,,,
fol. 442r,GB-E_0882,#0882,GB-E 0882-x,442,,
fol. 442v,GB-E_0883,#0883,GB-E 0883-x,,,
fol. 443r,GB-E_0884,#0884,GB-E 0884-x,243,,
fol. 443v,GB-E_0885,#0885,GB-E 0885-x,,,
fol. 444r,GB-E_0886,#0886,GB-E 0886-x,444,,
fol. 444v,GB-E_0887,#0887,GB-E 0887-x,,,
fol. 445r,GB-E_0888,#0888,GB-E 0888-x,445,,
fol. 445v,GB-E_0889,#0889,GB-E 0889-x,,,
fol. 446r,GB-E_0890,#0890,GB-E 0890-x,446,,
fol. 446v,GB-E_0891,#0891,GB-E 0891-x,,,
fol. 447r,GB-E_0892,#0892,GB-E 0892-x,447,,
fol. 447v,GB-E_0893,#0893,GB-E 0893-x,,,
fol. 448r,GB-E_0894,#0894,GB-E 0894-x,448,,
fol. 448v,GB-E_0895,#0895,GB-E 0895-x,,,
fol. 449r,GB-E_0896,#0896,GB-E 0896-x,449,,
fol. 449v,GB-E_0897,#0897,GB-E 0897-x,,,
fol. 450r,GB-E_0898,#0898,GB-E 0898-x,450,,
fol. 450v,GB-E_0899,#0899,GB-E 0899-x,,,
fol. 451r,GB-E_0900,#0900,GB-E 0900-x,451,,
fol. 451v,GB-E_0901,#0901,GB-E 0901-x,,,
