Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 92v,KB-E_186,#186,KB-E 186-x,91,lxxxxii,
fol. 93r,KB-E_187,#187,KB-E 187-x,92,,
fol. 93v,KB-E_188,#188,KB-E 188-x,92,lxxxxiii,
fol. 94r,KB-E_189,#189,KB-E 189-x,93,,
fol. 94v,KB-E_190,#190,KB-E 190-x,93,lxxxxiiii,
fol. 95r,KB-E_191,#191,KB-E 191-x,94,,
fol. 95v,KB-E_192,#192,KB-E 192-x,94,lxxxxv,
fol. 96r,KB-E_193,#193,KB-E 193-x,95,,
fol. 96v,KB-E_194,#194,KB-E 194-x,95,lxxxxvi,
fol. 97r,KB-E_195,#195,KB-E 195-x,96,,
fol. 97v,KB-E_196,#196,KB-E 196-x,96,lxxxxvii,
fol. 98r,KB-E_197,#197,KB-E 197-x,97,,
fol. 98v,KB-E_198,#198,KB-E 198-x,97,lxxxxviii,
fol. 99r,KB-E_199,#199,KB-E 199-x,98,,
fol. 99v,KB-E_200,#200,KB-E 200-x,98,lxxxxviiii,
fol. 100r,KB-E_201,#201,KB-E 201-x,99,,
fol. 100v,KB-E_202,#202,KB-E 202-x,99,C,
fol. 101r,KB-E_203,#203,KB-E 203-x,100,Ci,
fol. 101v,KB-E_204,#204,KB-E 204-x,100,,
fol. 102r,KB-E_205,#205,KB-E 205-x,101,Cii,
fol. 102v,KB-E_206,#206,KB-E 206-x,101,,
fol. 103r,KB-E_207,#207,KB-E 207-x,102,Ciii,
fol. 103v,KB-E_208,#208,KB-E 208-x,102,,
fol. 104r,KB-E_209,#209,KB-E 209-x,103,Ciiii,
fol. 104v,KB-E_210,#210,KB-E 210-x,103,,
fol. 105r,KB-E_211,#211,KB-E 211-x,104,Cv,
fol. 105v,KB-E_212,#212,KB-E 212-x,104,,
fol. 106r,KB-E_213,#213,KB-E 213-x,105,Cvi,
fol. 106v,KB-E_214,#214,KB-E 214-x,105,,
fol. 107r,KB-E_215,#215,KB-E 215-x,106,Cvii,
fol. 107v,KB-E_216,#216,KB-E 216-x,106,,
fol. 108r,KB-E_217,#217,KB-E 217-x,107,Cviii,
fol. 108v,KB-E_218,#218,KB-E 218-x,107,,
fol. 109r,KB-E_219,#219,KB-E 219-x,108,Cviiii,
fol. 109v,KB-E_220,#220,KB-E 220-x,108,,
fol. 110r,KB-E_221,#221,KB-E 221-x,109,Cx,
fol. 110v,KB-E_222,#222,KB-E 222-x,109,,
fol. 111r,KB-E_223,#223,KB-E 223-x,110,Cxi,
fol. 111v,KB-E_224,#224,KB-E 224-x,110,,
fol. 112r,KB-E_225,#225,KB-E 225-x,111,Cxii,
fol. 112v,KB-E_226,#226,KB-E 226-x,111,,
