eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-D 1023-3,keine_id,Alter Fleischmarkt,1447,,kauf ,800,3 tl. 80 d.,120,400,400 tl.,umb cccc tl. d.  
GB-D 1023-4,DB5115,hinter St. Pankraz,1447,,kauf ,182,6 s. 2 d.,120,91,91 tl.,umb lxxxxi tl. d.  
GB-D 1024-1,DB5521,Am Gestade,1447,ja,,136,0.5 tl. 16 d.,120,68,68 tl.,umb Achtundsechczig phunt phenning  
GB-D 1024-2,keine_id,Alter Kohlmarkt,1447,,,400,13 s. 10 d.,,,,
GB-D 1024-3,keine_id,Alter Kohlmarkt,1447,,,72,72 d.,,,,
GB-D 1024-4,DB6000,Scheffstraße,1447,,,72,72 d.,,,,
GB-D 1025-1,DB5037b,Otto und Haimo / Wiltwerkerstraße,1447,ja,,72,72 d.,,,,
GB-D 1025-2,keine_id,Ringmauer,1447,,kauf ,64,64 d.,120,32,32 tl.,umb xxxii tl. d.  
GB-D 1025-3,DB6000,Scheffstraße / vor Stubentor,1448,,,300,10 s.,120,150,150 tl.,umb Anderthalbhundert phund phenning  
GB-D 1026-1,keine_id,Krugstraße,1448,,kauf ,262,1 tl. 22 d.,120,131,131 tl.,umb cxxxi tl. d.  
GB-D 1026-2,keine_id,Salzgries,1448,,,151,5 s. 1 d.,120,76,76 tl.,umb Sechsundsibenczigk phund phenning  
GB-D 1026-3,DB5207,Wiltwerkerstraße,1448,,,400,13 s. 10 d.,120,200,200 tl.,umb zwaihundert phunt phenning  
GB-D 1026-4,keine_id,Mentlerstraße,1448,ja,,72,72 d.,,,,
GB-D 1027-1,DB5401,Berghof,1448,,,464,15 s. 14 d.,120,232,232 tl.,umb zwaihundert zwayunddreissig pfunt phenning  
GB-D 1027-2,DB5503,Kammerhof / Münzerstraße,1448,,,72,72 d.,,,,
GB-D 1027-3,DB5504,Kammerhof,1448,,,72,72 d.,,,,
GB-D 1027-4,DB5504,Kammerhof,1448,,,400,13 s. 10 d.,,,,
GB-D 1027-5,keine_id,Alter Fleischmarkt / Laurenzerinnen,1448,,kauf ,1380,5 tl. 6 s.,121,700,700 tl.,umb viiᶜ tl. d.  
