eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 0936-2,keine_id,Laurenzerinnen,1505,,,72,72 d.,,,,
GB-E 0937-1,keine_id,unter den Gürtlern,1505,,,800,3 tl. 80 d.,120,400,400 tl.,umb virhundert phundt phening  
GB-E 0937-2,keine_id,unter den Gürtlern,1505,,,100,3 s. 10 d.,120,50,50 tl.,umb funffzigk phundt phening  
GB-E 0938-1,keine_id,unter den Gürtlern,1505,,,212,7 s. 2 d.,79,70,70 tl.,umb Sybenntzigk phundt phening  
GB-E 0938-2,keine_id,vor Widmertor,1505,,,150,5 s.,120,75,75 tl.,umb funffundsibentzig phundt phening  
GB-E 0939-1,keine_id,Kernerstraße,1505,,,550,2 tl. 70 d.,120,275,275 tl.,ains zwayhundert unnd funfundsibentzig phundt phening  
GB-E 0939-2,DB5316,Herzoghof,1505,,,450,15 s.,120,225,225 tl.,umb zwayhundert unnd funfundzwaintzig phund phening  
GB-E 0940-1,DB6000,Scheffstraße,1505,,,510,2 tl. 30 d.,35,75,75 tl.,umb funfundsibentzig phundt phenning  
GB-E 0941-1,DB1038,Judenplatz,1505,,,,,,277,277 tl.,umb zwayhundert unnd Sibenundsibenntzig phund phening  
GB-E 0942-1,DB6000,Scheffstraße,1505,,,,,,100,100 tl.,umb hundert phund phening  
GB-E 0942-2,keine_id,Münzerstraße,1505,,,,,,600,600 tl. (bar bezahlt),umb dieselb Summa Sechshundert phundt phenning  
GB-E 0944-1,keine_id,,1505,,,120,4 s.,120,60,60 tl.,umb Sechtzig phundt phening  
GB-E 0944-2,DB1053,Schiltergasse,1505,,,780,3 tl. 60 d.,156,510,510 tl.,umb funfhundert und zehen phuntt phening  
GB-E 0945-1,DB6000,Scheffstraße,1505,,,200,6 s. 20 d.,,,na,umb ain Summa gelts  
GB-E 0945-2,DB6000,Scheffstraße,1505,,,160,5 s. 10 d.,120,80,80 tl.,umb Achtzig phundt phening  
GB-E 0945-3,keine_id,Alter Kohlmarkt,1505,,,72,72 d.,,,,
GB-E 0946-1,DB5571,Lichtensteg,1505,,,736,3 tl. 16 d.,,,,
GB-E 0947-1,DB5571,Lichtensteg,1505,,,990,4 tl. 30 d.,120,495,495 tl.,umb virhundert und funffundnewntzig phuntt pehnning  
GB-E 0948-1,keine_id,Salzgries,1506,,,550,18 s. 10 d.,120,275,275 tl.,umb zwayhundert unnd funfundsobenntzig phundt phening  
GB-E 0948-2,keine_id,Kernerstraße,1506,,,144,4 s. 24 d.,,,,
GB-E 0948-3,keine_id,Kernerstraße,1506,,,200,6 s. 20 d.,,,na,umb an Summa gelts  
GB-E 0949-1,keine_id,Kernerstraße,1506,,,400,13 s. 10 d.,120,200,200 tl.,umb zwayhundert phundt phenning  
GB-E 0949-2,keine_id,hintere Peckenstraße,1506,,,712,2 tl. 7 s. 22 d.,47,140,140 tl.,umb hundert virtzig phundt phening  
GB-E 0950-1,keine_id,Münzerstraße,1506,,,72,72 d.,,,,
GB-E 0950-2,keine_id,Münzerstraße,1506,,,800,3 tl. 80 d.,120,400,400 tl.,umb vierhundert phunt phening  
GB-E 0951-1,DB5563,Münzerstraße,1506,,,458,15 s. 8 d.,120,229,229 tl.,umb zwaihundert und Newundzwaintzig phunt phening  
GB-E 0952-1,(DB5426),Hoher Markt,1506,,,131,4 s. 11 d.,240,131,131 tl.,umb hundert unnd Ainsunddreissig phunt phenning  
GB-E 0952-2,keine_id,bei den Predigern,1506,,,220,7 s. 10 d.,120,110,110 tl.,umb hundert und zehen phundt phening  
GB-E 0953-1,keine_id,Graben,1506,,,72,72 d.,,,,
GB-E 0954-1,DB1049,Judenplatz,1506,,,1262,5 tl. 62 d.,76,400,400 tl.,umb virhundert phundt phening  
GB-E 0954-2,keine_id,Salzgries,1506,,,,,,,,
GB-E 0955-1,keine_id,unter den Hafnern,1506,,,72,72 d.,,,,
GB-E 0956-1,keine_id,Münzerstraße,1506,,,,0 d.,,,,
GB-E 0957-1,keine_id,Brandstätte,1506,,,,0 d.,,,,
GB-E 0957-2,keine_id,Alter Kohlmarkt,1506,,,580,2 tl. 3 s. 10 d.,121,294,294 tl.,umb zwayhundert unnd vierundnewntzig phunt phening  
GB-E 0958-1,keine_id,Haarmarkt,1506,,,72,72 d.,,,,
GB-E 0958-2,keine_id,Alter Kohlmarkt,1506,,,216,7 s. 6 d.,,,,
GB-E 0959-1,keine_id,Alter Kohlmarkt,1506,,,216,7 s. 6 d.,295,266,200 UG,umb zwayhundert gulden unngrisch  
GB-E 0960-1,keine_id,Kienmarkt,1506,,,144,4 s. 24 d.,,,,
GB-E 0961-1,keine_id,innerhalb Stubentor,1506,,,144,4 s. 24 d.,,,,
GB-E 0961-2,DB5433,Hoher Markt,1506,,,560,18 s. 20 d.,,,na,umb ain Summa gelts  
GB-E 0962-1,keine_id,Münzerstraße,1506,ja,,,,,2000,1500 RG,umb funffzehenhundert guldein Reinisch  
GB-E 0963-1,keine_id,innerhalb Stubentor,1506,,,72,72 d.,,,,
