eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
KB-E 353-3,keine_id,vordere Peckenstraße,1434,,verkauf ,800,3 tl. 80 d.,120,400,400 tl.,umb iiiiᶜ tl. d.  
KB-E 353-4,DB0110,Haarhof,1437,ja,verkauf ,38,38 d.,120,19,19 tl.,umb xviiii tl. d.  
KB-E 354-1,keine_id,unter den Hafnern,1434,,verkauf ,140,0.5 tl. 20 d.,120,70,70 tl.,umb lxx tl. d.  
KB-E 354-2,DB0056,#Alserstraße / vor Schottentor,1434,ja,überschreibung ,120,0.5 tl.,,,,
KB-E 354-3,DB5523,Am Gestade,1434,,verkauf ,1300,5 tl. 3 s. 10 d.,1,6.5,6.5 tl.,umb vi½ tl. d.  
KB-E 355-1,keine_id,Kernerstraße,1434,,verkauf ,180,6 s.,120,90,90 tl.,umb lxxxx tl. Wienner pfenning  
KB-E 355-2,keine_id,Lichtensteg,1434,,überschreibung ,720,3 tl.,,,,
KB-E 355-3,keine_id,Alter Kohlmarkt,1434,,verkauf ,260,1 tl. 20 d.,120,130,130 tl.,umb cxxx tl. d.  
KB-E 356-1,keine_id,Werdertor,1435,,verkauf ,680,2 tl. 6 s. 20 d.,121,344,344 tl.,umb ccc und xliiii tl. d.  
KB-E 356-2,keine_id,Neuer Markt,1435,,,200,6 s. 20 d.,,,,
KB-E 356-3,DB1042,Weiße Brüder,1437,,verkauf ,200,6 s. 20 d.,240,200,200 tl.,umb iiᶜ tl. Wienner d.  
KB-E 357-1,keine_id,Salzgries,1435,ja,,,,,,,
KB-E 357-2,DB0047,Alserstraße / unter den Lederern / vor Schottentor,1435,,verkauf ,32,32 d.,116,15.5,15.5 tl.,umb xv½ tl. d.  
KB-E 357-3,keine_id,Lichtensteg,1435,,,480,2 tl.,,,,
KB-E 358-1,DB5522,Am Gestade,1436,,,210,7 s.,,,,
KB-E 358-2,DB0049,Alserstraße,1436,ja,verkauf ,18,18 d.,120,9,9 tl.,umb viiii tl. d.  
KB-E 358-3,keine_id,Greut / vor Stubentor,1436,,,120,0.5 tl.,800,400,400 tl. ?,umb cccc tl. Wienner d.  
KB-E 359-1,DB0005,Neulucke / vor Kernertor,1420,,verkauf ,40,40 d.,120,20,20 tl.,umb zwainczig phunt phenning  
KB-E 359-2,keine_id,innerhalb Werdertor,1420,ja,verkauf ,44,44 d.,120,22,22 tl.,umb zway und zwainczig pfunt Wienner pfenning  
